Source;Target
Beras;Indonesia
Kopi;Indonesia
Jagung;Indonesia
Cengkih;Indonesia
Kakao;Indonesia
Karet;Indonesia
Kedelai;Indonesia
Sawit;Indonesia
Kentang;Indonesia
Ubi Jalar;Indonesia
Sawit;Malaysia
Karet;Malaysia
Beras;Malaysia
Lada;Malaysia
Kopi;Malaysia
Teh;Malaysia
Kakao;Malaysia
Kelapa;Malaysia
Beras;Thailand
Jagung;Thailand
Karet;Thailand
Kelapa;Thailand
Tembakau;Thailand
Tebu;Thailand
Tebu;Filipina
Beras;Filipina
Kelapa;Filipina
Pisang;Filipina
Jagung;Filipina
Kopi;Filipina
Nanas;Filipina
Karet;Brunei Darussalam
Kelapa;Brunei Darussalam
Beras;Vietnam
Jagung;Vietnam
Ubi Jalar;Vietnam
Singkong;Vietnam
Beras;Laos
Jagung;Laos
Tembakau;Laos
Kapas;Laos
Kopi;Laos
Jeruk;Laos
Beras;Myanmar
Jagung;Myanmar
Vanilli;Timor Leste
Kelapa;Timor Leste
Kopi;Timor Leste
Cengkih;Timor Leste
Porang;Timor Leste
